altitude,slope,rock,disturbance,unit
2421,15,0,2.064955462,OC
2390,5,0,-0.546794852,OC
2566,18,0,-0.356293089,OC
2630,30,0,-0.13484808,OC
2710,15,0,-0.646774969,OC
2425,35,2,-0.551056717,OC
2690,25,0,-0.650686186,OC
2665,30,0.1,-0.618550733,OC
2700,25,0,-0.597413705,OC
2470,30,0.5,-0.589857449,OC
2655,10,2,2.646180363,SU
2618,25,7,0.330845186,SU
2695,18,5,1.258562581,SU
2488,15,8,-0.137051715,SU
2630,5,10,-0.135808891,SU
2730,10,3,-0.128250452,SU
2696,25,4,-0.124864473,SU
2637,20,3,0.935176465,SU
2525,33,2,-0.55603205,SU
2660,20,1,-0.559068744,SU
2358,50,0,0.596356348,UO
2485,30,70,-0.6586199,UO
2665,32,2,-0.682086559,UO
2540,25,10,-0.701123754,UO
2700,10,1,-0.706739054,UO
2815,15,0.5,-0.706851507,UO
2430,20,10.5,-0.48647959,UO
2680,30,5.5,-0.245752689,UO
2800,10,3,-0.672014783,UO
2490,15,5,-0.700411322,UO
1860,3,5,12.15810918,LO
1900,6,6,1.186339349,LO
1947,1,3,-0.55711387,LO
2032,0,0,0.47354508,LO
2055,15,1,-0.693974455,LO
1960,15,7,-0.690341203,LO
2245,20,1.2,-0.668478054,LO
1960,10,3,-0.307142866,LO
1850,23,6.5,1.97700121,LO
2030,5,0,-0.407752256,LO
2490,20,95,-0.719012601,CH
2500,30,85,-0.721422446,CH
2540,15,80,0.289219442,CH
2570,30,90,0.371349404,CH
2520,12,60,-0.722843522,CH
2478,15,95,-0.716835893,CH
2552,25,95,-0.720486251,CH
2630,5,85,-0.721718232,CH
2484,20,70,-0.72062191,CH
2750,15,80,-0.722374033,CH
2275,40,0.5,-0.402862906,TE
2074,46,25,-0.514025265,TE
2120,36,8,-0.487327599,TE
1921,20,5,-0.146290227,TE
1967,20,0,-0.062784944,TE
2322,50,0,-0.308645017,TE
2183,55,0,-0.576589514,TE
2190,30,25,-0.127162905,TE
2020,35,1.8,-0.165399708,TE
2277,32,0.5,-0.513003134,TE
